Date,"('SP500', '^GSPC')",Interest_Rate,Advertising_Spending,GDP_Growth,User_Growth
2020-01-02,3257.85009765625,1.55,2341.409446783885,-5.5,2137936.1318730423
2020-01-03,3234.85009765625,1.55,3184.1995702947975,-5.5,1360019.8497168547
2020-01-04,3234.85009765625,1.55,3340.686450171614,-5.5,2848841.236758128
2020-01-05,3234.85009765625,1.55,1472.250964095189,-5.5,1993071.2137841745
2020-01-06,3246.280029296875,1.55,2973.734916961391,-5.5,1032332.9255272624
2020-01-07,3237.179931640625,1.55,2084.594914362484,-5.5,1903363.8023839495
2020-01-08,3253.050048828125,1.55,2339.952066134315,-5.5,1342738.6658031829
2020-01-09,3274.699951171875,1.55,4989.90279214407,-5.5,1967684.4304944044
2020-01-10,3265.35009765625,1.55,3566.5711093839623,-5.5,1993972.068918553
2020-01-11,3265.35009765625,1.55,2627.5117581066115,-5.5,2542057.424995185
2020-01-12,3265.35009765625,1.55,2944.365708553939,-5.5,1028389.3660227854
2020-01-13,3288.1298828125,1.55,1634.7462905238222,-5.5,2543105.3281238344
2020-01-14,3283.14990234375,1.55,1790.6157146061155,-5.5,1064547.9210879416
2020-01-15,3289.2900390625,1.55,1295.105204528693,-5.5,2319144.0024994905
2020-01-16,3316.81005859375,1.55,1492.3092172927895,-5.5,1265015.456815831
2020-01-17,3329.6201171875,1.55,4270.189184667753,-5.5,1121636.7012075495
2020-01-18,3329.6201171875,1.55,1296.7512083016493,-5.5,2194936.758495884
2020-01-19,3329.6201171875,1.55,2458.0195861278366,-5.5,2747211.8045279
2020-01-20,3329.6201171875,1.55,3379.831134505695,-5.5,1002022.439560373
2020-01-21,3320.7900390625,1.55,4501.618333664529,-5.5,2687661.3666470023
2020-01-22,3321.75,1.55,3004.6530438446316,-5.5,2433660.8413727838
2020-01-23,3325.5400390625,1.55,1902.8277956683792,-5.5,2771887.496984031
2020-01-24,3295.469970703125,1.55,4948.733315904361,-5.5,2908269.4355685394
2020-01-25,3295.469970703125,1.55,3531.3176373357364,-5.5,2170432.9877826422
2020-01-26,3295.469970703125,1.55,1904.523334201305,-5.5,1653992.3908707798
2020-01-27,3243.6298828125,1.55,4690.517984093213,-5.5,2399076.2468534647
2020-01-28,3276.239990234375,1.55,4182.425035859038,-5.5,2465587.1832336234
2020-01-29,3273.39990234375,1.55,1770.7230033787487,-5.5,1243668.874524228
2020-01-30,3283.659912109375,1.55,3364.60766374449,-5.5,1053590.2956269898
2020-01-31,3225.52001953125,1.55,1097.6214273457217,-5.5,2616592.3419381967
2020-02-01,3225.52001953125,1.58,2124.511721251495,-5.5,1219914.0894474841
2020-02-02,3225.52001953125,1.58,4258.990308224022,-5.5,2395937.680133358
2020-02-03,3248.919921875,1.58,2591.553163077826,-5.5,1333037.259610152
2020-02-04,3297.590087890625,1.58,1393.9604543205064,-5.5,2129637.5921500553
2020-02-05,3334.68994140625,1.58,2854.6990501763557,-5.5,1170976.9515657278
2020-02-06,3345.780029296875,1.58,3130.1737663882245,-5.5,2168772.532786674
2020-02-07,3327.7099609375,1.58,1380.7635762772463,-5.5,1530197.303375565
2020-02-08,3327.7099609375,1.58,2640.470231916417,-5.5,1639992.938496562
2020-02-09,3327.7099609375,1.58,3547.3476942877355,-5.5,1393316.788178678
2020-02-10,3352.090087890625,1.58,4096.121267006863,-5.5,2852475.3179382123
2020-02-11,3357.75,1.58,3762.9086834534987,-5.5,1282946.7813261582
2020-02-12,3379.449951171875,1.58,3548.201673040582,-5.5,2667419.0118872127
2020-02-13,3373.93994140625,1.58,2329.421155970898,-5.5,1172084.3889582043
2020-02-14,3380.159912109375,1.58,2279.4973172807486,-5.5,1535356.1424046278
2020-02-15,3380.159912109375,1.58,3045.249665262848,-5.5,1768592.2596223084
2020-02-16,3380.159912109375,1.58,4205.249612389424,-5.5,2580087.4084728635
2020-02-17,3380.159912109375,1.58,3802.4030508535975,-5.5,1386797.7358438685
2020-02-18,3370.2900390625,1.58,1795.899686652311,-5.5,2552091.868980981
2020-02-19,3386.14990234375,1.58,3847.5214983960113,-5.5,1158974.3942659628
2020-02-20,3373.22998046875,1.58,1889.3013512013322,-5.5,2370448.6746280524
2020-02-21,3337.75,1.58,2565.093662489984,-5.5,1339564.1689275836
2020-02-22,3337.75,1.58,4424.47852657935,-5.5,1282044.7574261425
2020-02-23,3337.75,1.58,2009.102385599212,-5.5,1675335.359062537
2020-02-24,3225.889892578125,1.58,4498.347654429326,-5.5,1249850.4447940642
2020-02-25,3128.2099609375,1.58,3476.2283460561257,-5.5,1628802.5820212155
2020-02-26,3116.389892578125,1.58,1110.7516447142016,-5.5,1536992.2089137356
2020-02-27,2978.760009765625,1.58,3329.863850448454,-5.5,2559636.68842721
2020-02-28,2954.219970703125,1.58,3496.393782082085,-5.5,2872707.4898986034
2020-02-29,2954.219970703125,1.58,3835.2274942211257,-5.5,2478994.4615910132
2020-03-01,2954.219970703125,0.65,3709.347282207676,-5.5,2254494.7656712383
2020-03-02,3090.22998046875,0.65,3326.6906869326626,-5.5,1292611.399607309
2020-03-03,3003.3701171875,0.65,1406.9814077533072,-5.5,1896292.6644276923
2020-03-04,3130.1201171875,0.65,3285.9451800283455,-5.5,2899597.481914214
2020-03-05,3023.93994140625,0.65,1172.8400415129222,-5.5,2658122.4200746706
2020-03-06,2972.3701171875,0.65,3723.1229745068317,-5.5,1607146.2868581547
2020-03-07,2972.3701171875,0.65,1811.610674164052,-5.5,2281966.5310614603
2020-03-08,2972.3701171875,0.65,2619.7068925532776,-5.5,2399886.3189701866
2020-03-09,2746.56005859375,0.65,1768.0310011501663,-5.5,1291099.7437220342
2020-03-10,2882.22998046875,0.65,2839.740492728223,-5.5,1271985.4408703633
2020-03-11,2741.3798828125,0.65,4854.391728148831,-5.5,2753391.0581788234
2020-03-12,2480.639892578125,0.65,2184.606014548466,-5.5,2933533.8616245547
2020-03-13,2711.02001953125,0.65,3826.7142686043135,-5.5,1238365.4061047637
2020-03-14,2711.02001953125,0.65,3100.994055490085,-5.5,2025327.038525978
2020-03-15,2711.02001953125,0.65,3319.2557667719266,-5.5,2824872.1166834077
2020-03-16,2386.1298828125,0.65,1530.9951288825712,-5.5,1494612.5240910882
2020-03-17,2529.18994140625,0.65,3837.820883115573,-5.5,1655759.191420156
2020-03-18,2398.10009765625,0.65,4049.630401828684,-5.5,1085566.6203780042
2020-03-19,2409.389892578125,0.65,1184.090382807419,-5.5,1527006.6534558206
2020-03-20,2304.919921875,0.65,4599.422393256815,-5.5,1656250.0508998306
2020-03-21,2304.919921875,0.65,2025.190240930929,-5.5,2606707.6753581828
2020-03-22,2304.919921875,0.65,4889.1194598370785,-5.5,1076182.8211517353
2020-03-23,2237.39990234375,0.65,4677.455355400035,-5.5,2473815.510129379
2020-03-24,2447.330078125,0.65,1314.1839398206284,-5.5,1084891.2470030528
2020-03-25,2475.56005859375,0.65,1957.6178302973353,-5.5,1486354.7903129598
2020-03-26,2630.070068359375,0.65,4925.183099496371,-5.5,1633699.3205104647
2020-03-27,2541.469970703125,0.65,4814.613708665017,-5.5,1753025.1700781859
2020-03-28,2541.469970703125,0.65,1718.9473309903228,-5.5,1649451.3738788087
2020-03-29,2541.469970703125,0.65,1075.617459838638,-5.5,1231629.4964760165
2020-03-30,2626.64990234375,0.65,3045.4648276789844,-5.5,1738499.561642336
2020-03-31,2584.590087890625,0.65,1070.9044926297695,-5.5,2418569.088963043
2020-04-01,2470.5,0.05,3618.5591229714482,-28.1,1191845.1672321598
2020-04-02,2526.89990234375,0.05,3351.838727315974,-28.1,2566052.782944675
2020-04-03,2488.64990234375,0.05,1444.3935748957988,-28.1,1124567.1650478537
2020-04-04,2488.64990234375,0.05,2310.796453457776,-28.1,2236883.1516535017
2020-04-05,2488.64990234375,0.05,3468.4326970923794,-28.1,1774069.5503464509
2020-04-06,2663.679931640625,0.05,1620.3042155592616,-28.1,1620030.307418412
2020-04-07,2659.409912109375,0.05,1098.9882812370536,-28.1,2146045.7408972858
2020-04-08,2749.97998046875,0.05,3965.9670888282217,-28.1,2402341.6315779407
2020-04-09,2789.820068359375,0.05,1630.130389992149,-28.1,2994799.750050173
2020-04-10,2789.820068359375,0.05,3265.7693466978985,-28.1,2433158.6386382175
2020-04-11,2789.820068359375,0.05,2288.402161747261,-28.1,2821572.8382623596
2020-04-12,2789.820068359375,0.05,4683.57346186426,-28.1,2757993.9311809023
2020-04-13,2761.6298828125,0.05,4200.24953759289,-28.1,1040198.1138441405
2020-04-14,2846.06005859375,0.05,2808.5447397690095,-28.1,2813126.7638867414
2020-04-15,2783.360107421875,0.05,2802.2261577166455,-28.1,2600532.0747442143
2020-04-16,2799.550048828125,0.05,3650.971284812833,-28.1,1130026.2573120706
2020-04-17,2874.56005859375,0.05,4519.931023113831,-28.1,2972732.3364384305
2020-04-18,2874.56005859375,0.05,2998.947800832147,-28.1,1954367.362251646
2020-04-19,2874.56005859375,0.05,4162.69962396892,-28.1,2229193.7122475654
2020-04-20,2823.159912109375,0.05,2895.2213236790767,-28.1,1497920.5435702438
2020-04-21,2736.56005859375,0.05,4702.280213092903,-28.1,1743523.3574650297
2020-04-22,2799.31005859375,0.05,2052.5312458474464,-28.1,1392472.1523468243
2020-04-23,2797.800048828125,0.05,4395.51175390955,-28.1,2312092.492974567
2020-04-24,2836.739990234375,0.05,3601.441399531396,-28.1,2534991.94894787
2020-04-25,2836.739990234375,0.05,3182.0720327130707,-28.1,2082164.8277958669
2020-04-26,2836.739990234375,0.05,4583.277317515014,-28.1,2124107.9092771076
2020-04-27,2878.47998046875,0.05,2625.435419965964,-28.1,1292217.095870377
2020-04-28,2863.389892578125,0.05,1352.5125815397384,-28.1,1921810.8971143933
2020-04-29,2939.510009765625,0.05,3151.375971536127,-28.1,1481200.2408320885
2020-04-30,2912.429931640625,0.05,4432.538114344389,-28.1,2836046.1512854174
2020-05-01,2830.7099609375,0.05,4615.952085107388,-28.1,2937034.413547742
2020-05-02,2830.7099609375,0.05,3598.0969481098255,-28.1,1902751.000053281
2020-05-03,2830.7099609375,0.05,3499.53068861076,-28.1,2793739.562154229
2020-05-04,2842.739990234375,0.05,4099.165230177539,-28.1,1779186.3515921514
2020-05-05,2868.43994140625,0.05,2626.0256292835284,-28.1,1787994.028112656
2020-05-06,2848.419921875,0.05,1468.502827616424,-28.1,2182014.2509277086
2020-05-07,2881.18994140625,0.05,4567.031599397243,-28.1,2205698.6243261322
2020-05-08,2929.800048828125,0.05,1105.2959671831718,-28.1,1850030.7349138034
2020-05-09,2929.800048828125,0.05,1583.9080424832232,-28.1,1091520.8351663917
2020-05-10,2929.800048828125,0.05,1287.1039965265938,-28.1,1268540.1044111825
2020-05-11,2930.18994140625,0.05,4560.5231210579495,-28.1,1839302.7518859701
2020-05-12,2870.1201171875,0.05,4406.977239398398,-28.1,1864461.7001015458
2020-05-13,2820.0,0.05,4748.001133836075,-28.1,2995050.242577097
2020-05-14,2852.5,0.05,2507.5573134007545,-28.1,1176420.9340203884
2020-05-15,2863.699951171875,0.05,4830.976808178817,-28.1,2921576.220798483
2020-05-16,2863.699951171875,0.05,3166.6360875840855,-28.1,1485340.4455900725
2020-05-17,2863.699951171875,0.05,2371.5411988333562,-28.1,1660125.4276262955
2020-05-18,2953.909912109375,0.05,4951.011336959386,-28.1,2619025.0129923313
2020-05-19,2922.93994140625,0.05,1778.0015005623268,-28.1,1492351.0028825623
2020-05-20,2971.610107421875,0.05,2740.87746131179,-28.1,1020987.3141085975
2020-05-21,2948.510009765625,0.05,2177.6160965557146,-28.1,2517960.471467474
2020-05-22,2955.449951171875,0.05,2676.555717939562,-28.1,2638746.137099188
2020-05-23,2955.449951171875,0.05,2202.8863053156165,-28.1,2027511.0796634306
2020-05-24,2955.449951171875,0.05,2585.698320135864,-28.1,2763007.1139573455
2020-05-25,2955.449951171875,0.05,3746.863902135735,-28.1,2496783.2994065247
2020-05-26,2991.77001953125,0.05,4944.130369095135,-28.1,1815167.844587805
2020-05-27,3036.1298828125,0.05,2593.883425299773,-28.1,1295867.1453737088
2020-05-28,3029.72998046875,0.05,2336.9993049839927,-28.1,1008952.3745571303
2020-05-29,3044.31005859375,0.05,3811.6342809286425,-28.1,1332622.534725925
2020-05-30,3044.31005859375,0.05,4732.162919527493,-28.1,1253785.5801049517
2020-05-31,3044.31005859375,0.05,1327.3564996363864,-28.1,2683463.1267730556
2020-06-01,3055.72998046875,0.08,1752.1048768506816,-28.1,1105054.1649204763
2020-06-02,3080.820068359375,0.08,1711.437748496713,-28.1,2128481.2382418606
2020-06-03,3122.8701171875,0.08,4351.06814366893,-28.1,1707674.1597890477
2020-06-04,3112.35009765625,0.08,1024.9743608256572,-28.1,1421818.676218579
2020-06-05,3193.929931640625,0.08,4462.527551990065,-28.1,1412100.945185938
2020-06-06,3193.929931640625,0.08,2003.4982899373285,-28.1,1767877.1595453825
2020-06-07,3193.929931640625,0.08,2261.756860876744,-28.1,2048453.0222971668
2020-06-08,3232.389892578125,0.08,1458.4593761260444,-28.1,1703367.3756448918
2020-06-09,3207.179931640625,0.08,4439.964133977239,-28.1,1851316.7446404658
2020-06-10,3190.139892578125,0.08,2240.2878394059426,-28.1,2105805.577593964
2020-06-11,3002.10009765625,0.08,2600.847843146088,-28.1,1352895.9475104425
2020-06-12,3041.31005859375,0.08,1948.5238157777073,-28.1,2763413.2750460366
2020-06-13,3041.31005859375,0.08,4288.023435272372,-28.1,1724838.5974331438
2020-06-14,3041.31005859375,0.08,4120.958731668072,-28.1,1838381.8864709865
2020-06-15,3066.590087890625,0.08,4698.889005262003,-28.1,1953302.18732999
2020-06-16,3124.739990234375,0.08,2571.0124850268353,-28.1,2333729.0809220835
2020-06-17,3113.489990234375,0.08,1188.237673180614,-28.1,1728100.8777907472
2020-06-18,3115.340087890625,0.08,4721.725314543806,-28.1,2315632.791157311
2020-06-19,3097.739990234375,0.08,4749.672779506594,-28.1,1090553.5057628478
2020-06-20,3097.739990234375,0.08,4139.945970353589,-28.1,2231641.7050828123
2020-06-21,3097.739990234375,0.08,3856.744838415195,-28.1,1284982.0337455785
2020-06-22,3117.860107421875,0.08,4210.908014763549,-28.1,2753897.024239001
2020-06-23,3131.2900390625,0.08,3752.6368875555822,-28.1,1595189.3510389864
2020-06-24,3050.330078125,0.08,1176.268745925916,-28.1,2096951.5495952962
2020-06-25,3083.760009765625,0.08,3687.4833284483193,-28.1,2434745.1548683555
2020-06-26,3009.050048828125,0.08,4085.555563677525,-28.1,2395913.334966381
2020-06-27,3009.050048828125,0.08,1408.5306761686022,-28.1,1034631.5983183542
2020-06-28,3009.050048828125,0.08,2238.4274570532125,-28.1,2512077.354712656
2020-06-29,3053.239990234375,0.08,3001.7551753988673,-28.1,2362696.2584986803
2020-06-30,3100.2900390625,0.08,4568.178968130128,-28.1,2631955.669859897
2020-07-01,3115.860107421875,0.09,1019.0742269157242,35.2,2904820.0910498844
2020-07-02,3130.010009765625,0.09,2896.8708678444427,35.2,2786895.937976718
2020-07-03,3130.010009765625,0.09,4315.043703402471,35.2,1697602.9052063157
2020-07-04,3130.010009765625,0.09,3818.6173380232035,35.2,2754283.8480112823
2020-07-05,3130.010009765625,0.09,3857.3876372370464,35.2,2785255.423713872
2020-07-06,3179.719970703125,0.09,1196.2940512446894,35.2,2054804.681776108
2020-07-07,3145.320068359375,0.09,3381.7264485279807,35.2,1531709.0931000165
2020-07-08,3169.93994140625,0.09,1819.8770979742335,35.2,2763716.818751528
2020-07-09,3152.050048828125,0.09,4571.324430694689,35.2,2351582.9323800155
2020-07-10,3185.0400390625,0.09,4145.995297633163,35.2,1090117.0132440561
2020-07-11,3185.0400390625,0.09,3257.1249609356632,35.2,1685174.4779387903
2020-07-12,3185.0400390625,0.09,2194.9274613272105,35.2,1606606.0500545136
2020-07-13,3155.219970703125,0.09,3665.6093039269917,35.2,1447437.2092691706
2020-07-14,3197.52001953125,0.09,3973.909891648501,35.2,2350690.327189455
2020-07-15,3226.56005859375,0.09,4835.068357586195,35.2,2986574.6591607863
2020-07-16,3215.570068359375,0.09,4197.829026553914,35.2,2204052.08566094
2020-07-17,3224.72998046875,0.09,4777.166067100865,35.2,2398339.4668700323
2020-07-18,3224.72998046875,0.09,3452.8162417504495,35.2,2234392.2669560183
2020-07-19,3224.72998046875,0.09,4715.311266464078,35.2,1715898.2706416708
2020-07-20,3251.840087890625,0.09,1597.1769572031346,35.2,1986065.486177592
2020-07-21,3257.300048828125,0.09,1660.334415966042,35.2,1626503.6687128642
