year,Company,fiscalDateEnding_balance,Innovation %,sellingGeneralAndAdministrative,Current Ratio,Quick Ratio,Debt Equity Ratio,ROE,ROA,costofGoodsAndServicesSold,Dividend Yield,EBITDA,Adjusted Close,EPS,Revenue per Share,Book Value per Share,P/E Ratio,P/S Ratio,P/B Ratio,SalesGrowth,OperatingProfitMargin,netProfitMargin,NetWorkingCapital,NetWorkingCapital/Sales,avgReceivables,DebtorDays,AvgPayables,CreditorDays,totalDebt,debtRatioToCapital,CummulativeCashflowFromOperations,CummulativeCNetProfits,operatingCashflow,cashflowFromInvestment,cashflowFromFinancing,netIncome,Years
2017,Snapchat,12/31/2017,1.860555016,2058.2,6.83538769,6.83538769,0.143446555,-1.151299975,-1.0068682,96.3,0,-3454.076,14.61,-2.420885978,0.579700786,2.102741276,-6.034980636,25.20265689,6.948073055,,-422.52018,-417.6095734,2338.568,1513.619,,,,,32.066,-0.006933805,-734.667,-3445.066,-734.667,-1357.01,2265.348,-3445.066,2017
2018,Snapchat,12/31/2018,0.65754135,877.846,5.725929393,5.725929393,0.17442976,-0.543449391,-0.462734691,120.3,0,-1225.85,5.51,-0.882542549,0.825230138,1.623964555,-6.243325045,6.676925317,3.392931196,42.35449707,-108.0127594,-106.9450216,1759.429,585.077,317.219,98.59474417,51.035,15.86217335,,,-1424.591,-4700.977,-689.924,694.454,47.437,-1255.911,2018
2019,Snapchat,12/31/2019,0.509186296,1039.515,5.291411417,5.291411413,0.77525595,-0.457389289,-0.257646954,174.7,0,-1069.928,16.33,-0.726364314,1.219301365,1.588065858,-22.48183136,13.39291538,10.28294886,47.7528884,-63.58729762,-59.5721726,2622.449002,887.310002,423.5795,89.1032462,38.881,8.178921112,933.955,-0.155349477,-1729.549,-5734.637,-304.958,-728.608,1165.852,-1033.66,2019
2020,Snapchat,12/31/2020,0.456659922,1084.632,5.002008011,5.00200801,1.156347533,-0.405514477,-0.188056179,324.3,0,-828.572,50.07,-0.663948815,1.695088752,1.637299903,-75.41243979,29.53827635,30.58083611,39.02131184,-35.73780591,-39.16897057,3505.699001,1093.486001,618.241,93.54810914,59.397,8.987558313,1716.246,-0.277921883,-1897.193,-6679.476,-167.644,-729.864,922.791,-944.839,2020
2021,Snapchat,12/31/2021,0.381649012,1503.404,5.698616789,5.698616789,0.988383101,-0.128742314,-0.064747238,679,0,-638.869,47.03,-0.342891375,2.882415358,2.66339297,-137.1571391,16.31617729,17.65792751,70.04509967,-17.11591111,-11.89597377,6189.225,2087.375,906.5805,80.67137572,98.595,8.773401026,2305.483,-0.385598884,-1604.313,-7167.431,292.88,90.227,1065.073,-487.955,2021
2022,Snapchat,12/31/2022,0.455935492,2072.011,4.324326525,4.324326525,2.111382269,-0.553979195,-0.178049223,681.9,0,-1263.006,8.95,-1.004632974,3.25173148,1.813485025,-8.908726103,2.752379787,4.935248913,12.81273084,-30.1530727,-30.89532393,5555.669001,928.260001,1125.9825,88.81506098,153.528,12.10995613,3789.005,-0.589669942,-1419.699,-8597.084,184.614,-1062.275,306.714,-1429.653,2022
2023,Snapchat,12/31/2023,0.415844402,1979.515,4.387412068,4.387412067,2.300492272,-0.547814269,-0.165979564,675,0,-1317.279,16.93,-0.929324835,3.229053589,1.696423201,-18.2175267,5.243022308,9.979821069,-0.697409717,-30.43171509,-28.78009948,5635.725001,1040.588001,1230.634,97.75147292,230.3675,18.29850503,3798.721,-0.479164646,-1173.178,-9919.569,246.521,570.954,-458.789,-1322.485,2023
2009,Apple,9/30/2009,0.03106864,4149,2.742482183,2.702937598,0.501295828,0.260271808,0.173364771,25683,0,12346,6.3551,0.544794189,2.838420725,2.09317403,11.66513911,2.238956312,3.036106845,,27.36277823,19.19356718,23062,-19843,,,,,,,10159,8235,10159,-17434,663,8235,2009
2010,Apple,9/30/2010,0.027320813,5517,2.011292346,1.960573304,0.573162311,0.293214204,0.18638522,39541,0,19200,9.7275,0.927043226,4.315021368,3.161658662,10.49303821,2.254334143,3.076707842,52.02190887,28.18704484,21.48409352,22562,-42663,4435.5,24.8211192,8808,49.28968954,,,28754,22248,18595,-13854,1257,14013,2010
2011,Apple,9/30/2011,0.022439006,7599,1.608437612,1.5806936,0.518906219,0.338341056,0.222753091,64431,0,35390,12.2136,1.714894349,7.161314651,5.068537557,7.122071402,1.705496909,2.409689159,65.96243772,31.21506896,23.94664154,11179,-97070,5439.5,18.34120869,13323.5,44.92491847,,,66283,48170,37529,-40419,1444,25922,2011
2012,Apple,9/30/2012,0.02160273,10040,1.495848685,1.475325619,0.489417139,0.353041198,0.237033124,87846,0.15150408,57841,16.1938,2.76088596,10.35393429,7.820293997,5.865436035,1.564023833,2.070740564,44.58147419,35.29595931,26.6650906,10554,-145954,8149.5,19.00584954,17903.5,41.7536324,6310,0.05087848,117139,89903,50856,-48227,-1698,41733,2012
2013,Apple,9/30/2013,0.026204223,10830,1.678638508,1.638233543,0.675448607,0.299775797,0.178922705,106606,0.534507185,54799,17.4991,2.450217653,11.29771497,8.173500576,7.141855328,1.548906132,2.140955376,9.115189,28.69230679,21.68772764,30270,-140504,12016,25.6821296,21771,46.53176128,16960,0.120300752,170805,126940,53666,-33774,-16379,37037,2013
2014,Apple,9/30/2014,0.03311752,11993,1.080112848,1.046841508,1.078397447,0.354200472,0.17041999,112258,0.477244456,59403,24.6068,2.6138213,12.06757168,7.37949695,9.414109528,2.039084635,3.334482034,6.814269151,28.78280367,21.65987797,5270,-177141,20160.5,40.34067299,26281.5,52.58864597,35295,0.242144621,279938,166450,109133,-22579,-37549,39510,2014
2015,Apple,9/30/2015,0.034624992,14329,1.108770624,1.079630319,1.432616983,0.447354531,0.183898466,140089,0.421688065,80430,23.8642,3.532330409,15.41314386,7.896042552,6.755936516,1.548301905,3.022298809,27.72365702,30.57317733,22.91765029,17765,-215217,28781,45.0895992,32843,51.4533097,65899,0.35506118,361204,219844,81266,-56274,-17716,53394,2015
2016,Apple,9/30/2016,0.046582483,14194,1.352669418,1.325684125,1.508292462,0.356236696,0.142023588,131376,0.382867748,68324,26.8426,3.022466558,14.26580135,8.484433507,8.881024648,1.88160478,3.163746876,-7.443922706,27.83541011,21.18679831,37322,-178317,29821,50.47632849,36392,61.5986904,93300,0.422334382,427435,265531,66231,-45977,-20890,45687,2016
2017,Apple,9/30/2017,0.050520429,15261,1.276062848,1.227904854,1.799906003,0.360701843,0.128826412,141048,0.350266261,62544,39.8547,3.19870599,15.16519139,8.868005663,12.45963215,2.62803805,4.494212286,6.304518199,26.76042821,21.09242085,33307,-195927,32486,51.7261401,40768,64.91323277,124573,0.481404336,491660,313882,64225,-46446,-17974,48351,2017
2018,Apple,9/30/2018,0.053600407,16705,1.132926188,1.098801853,2.413301352,0.555601183,0.162775309,163756,0.341086043,80198,37.706,3.93832943,17.57068762,7.088410802,9.574110208,2.145960409,5.319386962,15.86195765,26.69402662,22.41420207,-19829,-285424,42334,58.17846722,50065,68.80297069,123948,0.528452477,569094,373413,77434,16066,-87876,59531,2018
2019,Apple,9/30/2019,0.063200025,18245,1.540125617,1.501286441,2.741004332,0.610644505,0.163230098,161782,0.31254704,75230,71.2518,3.655512775,16.97548261,5.986318951,19.49160197,4.197335749,11.90243964,-3.387488469,24.91445763,21.53407275,91865,-164733,47399.5,67.42382053,51062,72.6335747,123740,0.576038583,638485,428669,69391,45896,-90976,55256,2019
2020,Apple,9/30/2020,0.069032035,19916,1.363604448,1.325072112,3.95703944,0.878663585,0.177255718,169559,0.277299671,77344,129.8986,3.798078831,17.97073261,4.322563146,34.2011332,7.228341928,30.05129031,5.862867209,24.4027065,21.13480242,61117,-210525,41624.5,55.93002003,44266,59.4793515,130869,0.665613842,719159,486080,80674,-4289,-86820,57411,2020
2021,Apple,9/30/2021,0.060340555,21973,1.07455312,1.022114902,4.563512443,1.500713267,0.269742053,212981,0.252192103,120233,174.9056,6.263644663,24.02598605,4.173778431,27.92393397,7.279851058,41.90581817,33.69508397,29.99928409,26.07029176,26316,-336856,44475.5,44.69936421,48529.5,48.77376973,124700,0.6646165,823197,580760,104038,-14545,-93353,94680,2021
2022,Apple,9/30/2022,0.067070008,25094,0.879356029,0.847235391,5.961536943,1.969588728,0.282924409,223546,0.228854724,130541,128.7233,6.602561558,25.89323754,3.352253933,19.49596363,4.971309586,38.3990302,7.771799588,30.51556348,25.49917347,-17442,-408839,56219,52.42742024,59439,55.43025368,120069,0.660263954,945348,680563,122151,-22354,-110749,99803,2022
